date,flight_id,route,aircraft_type,scheduled_hour,crew_duty_hours,weather_forecast_18h,weather_actual,atc_slot_delay_min,delayed
2026-05-29,CZ3107,PVG-CKG,B787,11,9.7,-1.48,-0.55,0,0
2024-12-12,CZ3026,PVG-XIY,B737,9,6.1,-0.54,0.66,0,0
2025-05-23,CZ3101,PVG-CTU,B737,15,11.4,0.37,1.86,0,0
2026-05-15,CZ3031,PVG-CTU,A320,17,8.5,-0.6,-1.32,0,0
2026-07-28,CZ3073,PVG-HGH,A330,21,5.7,0.19,-1.15,0,0
2024-11-14,CZ3002,PVG-CKG,A330,12,9.7,0.6,0.56,0,0
2025-07-26,CZ3059,PVG-WUH,A320,7,8.9,-0.66,-0.22,4,0
2024-10-06,CZ3084,PVG-HGH,A321,15,7.0,0.26,0.4,0,0
2026-08-24,CZ3040,PVG-CKG,B737,11,9.6,0.66,1.32,24,1
2025-03-10,CZ3047,PVG-PEK,B737,10,7.8,-0.12,0.95,31,1
2026-07-17,CZ3043,PVG-HGH,B737,7,7.0,-1.02,-1.82,1,0
2025-09-24,CZ3078,PVG-CKG,B737,16,6.5,2.2,1.37,45,1
2025-08-02,CZ3062,PVG-XIY,B787,16,9.9,0.59,1.72,0,0
2026-01-12,CZ3041,PVG-HGH,A320,19,6.0,-1.58,0.49,0,0
2026-06-06,CZ3019,PVG-KMG,A321,8,8.7,1.99,2.64,0,0
2025-09-27,CZ3071,PVG-CAN,A330,11,8.5,-1.34,-0.54,0,0
2026-02-16,CZ3000,PVG-XIY,B787,8,10.8,0.6,0.65,0,0
2024-12-14,CZ3065,PVG-KMG,A320,8,5.5,-0.4,-0.97,2,0
2025-05-10,CZ3035,PVG-CSX,B787,16,6.8,0.66,-0.47,0,0
2025-08-06,CZ3037,PVG-TSN,A330,14,9.1,-1.15,-1.55,0,0
2025-01-15,CZ3014,PVG-HGH,A321,11,5.4,-1.97,-1.51,0,0
2025-10-02,CZ3001,PVG-CTU,A330,10,7.6,0.05,0.18,0,0
2025-05-13,CZ3081,PVG-XIY,A330,19,7.9,1.47,2.05,26,1
2024-10-13,CZ3096,PVG-CKG,A321,9,4.0,2.11,0.68,0,0
2024-12-02,CZ3005,PVG-TSN,A320,19,3.4,0.49,-0.23,0,0
2024-12-08,CZ3022,PVG-CKG,A330,10,7.9,1.26,2.25,0,0
2024-10-02,CZ3006,PVG-NKG,A321,14,6.0,-0.01,-1.75,0,0
2025-10-07,CZ3050,PVG-PEK,A330,16,9.9,2.05,3.0,0,0
2025-12-03,CZ3029,PVG-KMG,A320,22,10.6,-0.27,-0.58,0,0
2026-07-24,CZ3017,PVG-CTU,A321,13,8.1,0.13,0.67,0,0
2026-07-31,CZ3025,PVG-WUH,B787,16,5.8,1.75,0.44,0,0
2025-03-11,CZ3085,PVG-CTU,A320,14,7.0,0.19,0.85,0,0
2026-03-03,CZ3103,PVG-TSN,B787,11,6.7,0.08,0.81,0,0
2025-12-31,CZ3027,PVG-CKG,A320,14,8.5,-2.01,-2.48,0,0
2026-06-13,CZ3107,PVG-HGH,A321,15,7.5,0.22,1.81,21,1
2026-05-01,CZ3068,PVG-WUH,B737,8,5.4,-0.13,-0.81,0,0
2026-06-21,CZ3080,PVG-SZX,B737,15,9.7,-0.99,-1.93,0,0
2026-02-16,CZ3046,PVG-TSN,A330,13,8.2,-0.37,0.94,0,0
2026-03-05,CZ3059,PVG-CKG,A320,15,4.4,-0.46,-1.6,0,0
2025-05-09,CZ3009,PVG-CTU,B737,8,6.1,-1.13,-0.31,0,0
2025-07-11,CZ3106,PVG-CSX,A321,14,8.5,-1.65,-1.35,0,0
2025-10-02,CZ3102,PVG-CAN,B737,7,11.9,-0.32,-0.53,0,0
2025-12-31,CZ3023,PVG-XIY,B787,9,10.9,-0.8,0.36,0,0
2026-02-02,CZ3091,PVG-CKG,A320,17,10.0,0.77,2.63,28,1
2025-03-21,CZ3111,PVG-XIY,B737,21,7.9,-0.43,0.19,0,0
2025-11-17,CZ3088,PVG-HGH,B737,16,7.4,1.33,1.74,0,0
2024-11-13,CZ3062,PVG-TSN,B787,17,9.8,0.99,0.83,0,0
2024-10-07,CZ3062,PVG-CTU,B787,6,5.5,-0.71,0.77,0,0
2026-06-11,CZ3060,PVG-NKG,B737,9,5.5,0.49,-0.33,1,0
2025-01-31,CZ3096,PVG-KMG,B787,17,4.8,0.26,-0.77,0,0
2025-01-28,CZ3056,PVG-XIY,B787,22,6.6,-0.58,0.11,0,0
2026-03-20,CZ3009,PVG-WUH,A330,6,7.5,-0.45,-0.67,0,0
2025-05-11,CZ3016,PVG-PEK,B787,17,11.0,-0.45,-0.02,0,0
2024-10-13,CZ3015,PVG-PEK,A320,9,7.9,-0.13,-1.47,0,0
2026-06-02,CZ3034,PVG-TSN,B737,9,9.4,0.08,0.88,0,0
2025-02-19,CZ3109,PVG-CAN,A330,7,10.9,-0.51,-0.34,0,0
2024-12-23,CZ3113,PVG-CAN,A330,6,5.5,-0.19,-0.22,0,0
2025-02-13,CZ3057,PVG-CAN,A321,6,7.2,-1.35,-1.14,0,0
2025-12-17,CZ3017,PVG-XIY,A320,10,8.1,0.93,-0.24,0,0
2024-09-21,CZ3052,PVG-TSN,A320,8,8.3,-0.11,0.16,1,0
2024-10-31,CZ3008,PVG-CTU,B737,8,6.2,-1.01,-2.24,1,0
2025-11-12,CZ3090,PVG-TSN,A321,21,5.8,0.79,1.08,0,0
2025-10-25,CZ3091,PVG-PEK,B737,10,7.0,-0.26,1.06,0,0
2026-03-08,CZ3113,PVG-CSX,B787,17,8.7,1.13,0.01,4,0
2026-03-11,CZ3022,PVG-CTU,A321,12,8.2,-0.08,0.52,15,1
2025-11-03,CZ3116,PVG-SZX,A321,11,6.5,-0.44,-0.08,0,0
2026-05-11,CZ3090,PVG-CSX,A320,12,7.3,-0.17,0.11,0,0
2024-12-26,CZ3011,PVG-NKG,A320,14,10.8,-0.54,-0.77,0,0
2026-04-17,CZ3017,PVG-KMG,A330,12,8.4,0.53,-1.4,5,0
2026-01-10,CZ3115,PVG-KMG,A321,14,8.7,-0.81,0.68,4,0
2025-08-05,CZ3108,PVG-SZX,A330,6,9.7,-0.74,0.65,0,0
2025-10-28,CZ3100,PVG-CTU,A321,19,6.0,-0.23,0.61,0,0
2026-02-20,CZ3057,PVG-XIY,A320,14,9.5,1.24,1.69,0,0
2025-11-16,CZ3037,PVG-CSX,A330,10,3.6,-0.23,0.16,0,0
2025-11-19,CZ3006,PVG-XIY,A320,6,6.7,-1.41,-1.96,0,0
2026-04-14,CZ3052,PVG-HGH,A321,15,9.9,0.27,0.13,0,0
2026-03-11,CZ3103,PVG-WUH,A320,6,6.6,0.06,-0.94,0,0
2024-09-01,CZ3008,PVG-CKG,B787,18,6.6,-0.68,0.36,0,0
2026-03-21,CZ3047,PVG-WUH,A321,14,9.4,-1.12,-0.05,1,0
2024-10-27,CZ3007,PVG-XIY,A320,20,4.5,0.92,0.94,0,0
2026-08-10,CZ3030,PVG-TSN,B737,17,7.3,-0.44,-0.57,0,0
2025-08-24,CZ3059,PVG-CKG,A320,19,10.5,-0.32,-0.2,0,0
2025-08-02,CZ3057,PVG-TSN,B787,10,,-1.31,0.8,5,0
2025-11-19,CZ3011,PVG-PEK,B787,16,,-1.52,-1.47,0,0
2024-10-13,CZ3027,PVG-WUH,B737,10,10.0,-0.92,-1.55,0,0
2025-01-14,CZ3001,PVG-CSX,B787,14,3.3,-0.03,-0.5,0,0
2025-06-29,CZ3043,PVG-NKG,A330,10,6.0,0.52,2.27,0,0
2025-09-01,CZ3029,PVG-XIY,A321,14,7.5,0.12,0.31,0,0
2025-01-03,CZ3074,PVG-TSN,B737,18,7.4,-1.05,-1.14,0,0
2025-01-28,CZ3096,PVG-TSN,A330,18,7.0,-1.02,-0.83,0,0
2025-10-27,CZ3041,PVG-HGH,B737,16,7.6,0.83,2.33,17,1
2026-06-16,CZ3067,PVG-CTU,A330,9,4.4,0.79,2.02,0,0
2026-04-07,CZ3067,PVG-WUH,B787,11,5.8,0.19,0.36,0,0
2026-07-06,CZ3018,PVG-WUH,A330,8,6.6,-1.67,-1.04,0,0
2025-11-23,CZ3064,PVG-CSX,A321,12,10.1,-1.48,-2.09,0,0
2024-09-21,CZ3004,PVG-KMG,A320,10,4.5,-1.34,-1.93,0,0
2024-12-07,CZ3115,PVG-TSN,B787,15,6.0,-0.88,-1.81,0,0
2024-10-15,CZ3045,PVG-CAN,A330,14,4.6,0.7,-1.01,0,0
2024-11-06,CZ3019,PVG-HGH,A320,8,10.6,-0.4,-1.45,0,0
2026-05-06,CZ3006,PVG-KMG,A321,13,9.2,-0.97,-2.04,0,0
2025-02-14,CZ3027,PVG-NKG,A321,17,8.3,-0.28,0.16,0,0
2025-08-15,CZ3021,PVG-KMG,A321,6,5.3,-0.3,-1.69,0,0
2025-07-21,CZ3038,PVG-CTU,A330,15,7.1,-0.5,1.24,0,0
2026-02-18,CZ3027,PVG-CSX,B737,18,2.6,-0.42,-0.09,0,0
2026-05-09,CZ3078,PVG-TSN,B787,8,10.7,-0.1,2.4,0,0
2025-12-12,CZ3091,PVG-CTU,A320,19,12.2,-0.56,-1.3,0,0
2024-09-02,CZ3088,PVG-CSX,B787,8,8.1,0.37,1.43,0,0
2025-07-18,CZ3014,PVG-XIY,A321,14,9.2,1.37,0.76,0,0
2024-12-31,CZ3080,PVG-NKG,B737,11,9.0,1.68,1.96,0,0
2025-03-08,CZ3019,PVG-CSX,B787,14,6.3,1.59,0.7,0,0
2026-03-11,CZ3089,PVG-CTU,A330,14,8.4,0.08,0.95,0,0
2026-04-13,CZ3027,PVG-HGH,A321,13,10.2,0.26,-0.31,3,0
2025-09-28,CZ3044,PVG-HGH,B737,9,7.6,-0.24,0.12,0,0
2024-11-22,CZ3104,PVG-KMG,B737,16,7.3,1.07,1.04,20,1
2025-06-05,CZ3026,PVG-PEK,B787,21,5.7,-0.71,-1.08,0,0
2026-01-21,CZ3066,PVG-SZX,A330,8,6.4,1.02,0.9,0,0
2026-07-10,CZ3107,PVG-CTU,A321,11,5.8,-0.06,-0.02,1,0
2026-02-08,CZ3079,PVG-CKG,A320,13,5.4,-1.54,-0.92,0,0
2025-07-17,CZ3064,PVG-CTU,B737,21,7.5,-0.5,0.3,0,0
2025-05-17,CZ3015,PVG-NKG,B737,14,8.8,0.38,1.01,0,0
2026-03-01,CZ3033,PVG-HGH,A320,17,5.5,-0.29,0.46,0,0
2026-03-12,CZ3116,PVG-CAN,A330,15,9.3,1.01,0.78,32,1
2025-08-29,CZ3050,PVG-TSN,A320,6,6.9,-0.85,-0.79,0,0
2025-04-16,CZ3058,PVG-CAN,A320,12,8.9,0.78,0.55,11,1
2026-07-04,CZ3024,PVG-HGH,B737,8,10.3,-0.9,-2.19,1,0
2025-05-27,CZ3046,PVG-PEK,A320,17,9.1,-0.29,-0.25,0,0
2026-08-28,CZ3033,PVG-CTU,B737,11,7.6,0.22,-0.3,0,0
2024-11-23,CZ3019,PVG-HGH,A321,9,9.3,-2.27,-3.0,0,0
2025-05-06,CZ3022,PVG-SZX,B737,11,10.5,-0.87,0.21,0,0
2025-03-08,CZ3001,PVG-SZX,A320,9,5.2,-1.42,1.19,4,0
2025-06-19,CZ3052,PVG-CTU,A330,12,6.3,-0.82,0.08,0,0
2025-10-29,CZ3045,PVG-HGH,A330,10,7.1,-1.13,-1.39,0,0
2026-06-22,CZ3009,PVG-NKG,A330,10,12.7,-0.13,-0.26,0,0
2024-10-25,CZ3003,PVG-CTU,A330,21,8.8,-0.43,-0.98,0,0
2026-06-23,CZ3075,PVG-TSN,B787,10,6.8,0.26,2.37,0,0
2026-05-28,CZ3000,PVG-NKG,B787,10,9.7,-2.23,-3.0,0,0
2026-06-03,CZ3015,PVG-PEK,B787,10,5.3,-1.67,-1.06,0,0
2026-07-24,CZ3007,PVG-URC,A321,8,5.0,-0.4,0.03,37,1
2024-11-08,CZ3070,PVG-HGH,A321,8,6.6,-0.46,-1.24,2,0
2026-03-29,CZ3112,PVG-CSX,B737,19,7.7,-0.25,0.12,0,0
2025-11-25,CZ3089,PVG-WUH,A320,7,6.5,1.0,0.93,20,1
2026-03-23,CZ3108,PVG-SZX,A320,8,8.4,-1.75,-2.15,0,0
2026-04-05,CZ3088,PVG-NKG,B737,7,7.7,-0.61,-0.54,0,0
2024-09-08,CZ3060,PVG-KMG,A321,9,8.4,1.24,1.82,0,0
2024-09-20,CZ3070,PVG-HGH,B787,9,8.6,-1.02,1.45,0,0
2025-01-09,CZ3110,PVG-CSX,B737,18,7.5,-1.05,-2.17,5,0
2025-08-12,CZ3074,PVG-XIY,B737,17,6.8,-0.01,0.11,0,0
2026-04-23,CZ3069,PVG-SZX,B737,8,1.4,0.26,0.45,0,0
2025-01-30,CZ3117,PVG-HGH,A330,14,9.9,-0.03,-0.83,0,0
2025-06-20,CZ3106,PVG-KMG,A321,7,8.9,0.27,0.95,0,0
2026-08-29,CZ3082,PVG-CSX,A321,15,8.5,-1.93,-1.06,22,1
2026-01-11,CZ3010,PVG-PEK,A330,14,4.2,-2.37,-1.28,0,0
2025-08-10,CZ3015,PVG-CTU,B737,13,5.6,1.43,2.78,9,1
2025-12-16,CZ3037,PVG-CAN,A321,21,7.5,-0.18,-0.24,0,0
2025-08-05,CZ3073,PVG-KMG,A320,19,5.8,-1.91,-1.07,0,0
2024-09-23,CZ3016,PVG-TSN,B787,16,,1.45,1.71,0,0
2025-05-29,CZ3111,PVG-CTU,A330,17,5.7,0.74,2.86,16,1
2026-03-16,CZ3041,PVG-PEK,A330,16,8.0,0.01,0.36,0,0
2025-11-18,CZ3067,PVG-WUH,A320,19,6.0,-1.88,-2.48,4,0
2025-10-14,CZ3037,PVG-SZX,B787,9,6.9,-1.36,-0.7,0,0
2025-08-10,CZ3101,PVG-XIY,B787,16,,0.31,-0.74,0,0
2026-01-21,CZ3044,PVG-WUH,B737,18,4.4,0.89,-1.15,0,0
2024-10-07,CZ3107,PVG-XIY,A321,11,6.4,1.15,2.77,0,0
2026-03-12,CZ3013,PVG-CKG,A330,10,7.2,0.98,1.87,0,0
2026-04-12,CZ3021,PVG-TSN,A320,6,4.6,0.64,-0.33,0,0
2025-12-01,CZ3024,PVG-SZX,A320,22,6.3,1.66,2.06,3,0
2026-03-07,CZ3052,PVG-NKG,B737,15,7.0,-0.27,0.05,0,0
2025-04-23,CZ3118,PVG-KMG,B787,15,,-0.52,-0.38,0,0
2025-04-19,CZ3060,PVG-XIY,A330,17,5.5,-1.53,-2.44,0,0
2025-12-15,CZ3098,PVG-SZX,B787,14,4.7,0.37,-1.57,0,0
2024-12-15,CZ3021,PVG-XIY,A330,6,4.8,0.59,1.4,0,0
2026-02-04,CZ3116,PVG-PEK,A321,14,6.6,0.5,1.39,0,0
2024-12-31,CZ3057,PVG-HGH,A320,10,7.1,-0.44,-2.15,0,0
2026-03-30,CZ3034,PVG-NKG,A330,8,8.5,0.09,-0.52,0,0
2025-03-25,CZ3044,PVG-XIY,A330,7,9.6,0.36,1.03,0,0
2025-03-09,CZ3005,PVG-CTU,B737,12,5.2,-1.04,0.61,0,0
2024-11-07,CZ3086,PVG-CKG,A330,16,6.6,-1.51,-1.89,0,0
2025-11-04,CZ3057,PVG-CKG,B787,9,9.1,-0.81,-0.36,0,0
2024-12-05,CZ3081,PVG-TSN,B787,7,,-0.24,-1.99,0,0
2026-04-27,CZ3076,PVG-CAN,A330,11,5.1,0.52,1.42,25,1
2026-04-20,CZ3089,PVG-CAN,A321,17,8.1,0.2,1.34,0,0
2025-03-26,CZ3072,PVG-NKG,B737,17,6.5,-1.24,-2.36,1,0
2026-03-29,CZ3031,PVG-SZX,A330,10,6.6,-1.99,-2.43,0,0
2025-12-11,CZ3107,PVG-PEK,A330,13,9.1,0.46,0.54,0,0
2025-06-07,CZ3013,PVG-CTU,A330,12,9.5,0.46,0.44,3,0
2025-03-23,CZ3042,PVG-CSX,B737,16,7.6,1.0,2.17,0,0
2026-06-21,CZ3045,PVG-WUH,B737,12,5.7,0.51,-0.29,0,0
2025-07-30,CZ3081,PVG-PEK,B737,17,8.6,0.08,-0.92,0,0
2026-07-01,CZ3019,PVG-TSN,A320,15,9.8,0.52,0.62,0,0
2025-11-01,CZ3095,PVG-CAN,A320,17,7.7,-0.3,-0.81,0,0
2025-11-29,CZ3100,PVG-XIY,B787,18,8.8,-1.52,-1.62,0,0
2025-03-15,CZ3101,PVG-CAN,B787,9,4.9,0.96,0.66,0,0
2026-01-16,CZ3103,PVG-CTU,A320,10,10.1,-1.23,0.13,0,0
2026-05-05,CZ3033,PVG-CKG,A321,18,9.9,0.17,-0.12,0,0
2024-12-26,CZ3093,PVG-TSN,B787,7,9.1,0.64,0.35,0,0
2026-07-26,CZ3058,PVG-WUH,A320,9,11.8,-0.55,-0.53,22,1
2025-05-13,CZ3013,PVG-PEK,A320,16,7.6,-0.52,-1.84,0,0
2025-03-21,CZ3117,PVG-TSN,B737,14,7.7,0.69,1.34,0,0
2025-10-12,CZ3028,PVG-NKG,A330,9,2.7,0.36,-0.65,0,0
2025-04-20,CZ3092,PVG-KMG,A330,8,9.9,-0.08,0.24,0,0
2025-12-01,CZ3015,PVG-XIY,B737,14,8.8,0.13,-0.75,0,0
2025-07-14,CZ3087,PVG-KMG,A320,13,7.7,0.86,0.62,0,0
2025-08-10,CZ3046,PVG-HGH,A321,14,8.3,0.18,0.91,0,0
2025-02-13,CZ3027,PVG-TSN,A321,15,8.1,-0.63,0.31,0,0
2025-06-10,CZ3077,PVG-TSN,B737,13,5.2,-1.31,-2.07,0,0
2024-12-23,CZ3042,PVG-CKG,B787,14,11.3,0.81,-0.48,0,0
2024-10-29,CZ3075,PVG-XIY,B737,13,5.0,0.12,1.96,0,0
2026-06-04,CZ3088,PVG-SZX,A330,17,3.1,0.41,0.67,0,0
2025-03-01,CZ3061,PVG-HGH,B737,16,8.3,1.75,1.31,0,0
2025-10-07,CZ3098,PVG-CKG,A320,18,3.9,0.01,1.24,5,0
2025-11-09,CZ3087,PVG-CSX,A330,19,5.8,0.73,1.29,0,0
2024-09-20,CZ3117,PVG-CTU,B787,15,7.2,-1.37,-0.59,0,0
2026-08-01,CZ3090,PVG-CTU,A321,15,9.2,-0.25,0.76,0,0
2025-11-02,CZ3117,PVG-WUH,B737,9,7.1,-0.66,-2.13,0,0
2026-08-11,CZ3025,PVG-CTU,A321,11,8.4,-1.31,-3.0,0,0
2026-05-21,CZ3075,PVG-CSX,A330,10,3.6,-1.32,-1.11,0,0
2024-12-07,CZ3111,PVG-HGH,A320,9,7.4,0.06,-0.58,0,0
2024-11-03,CZ3049,PVG-XIY,A321,11,1.9,-0.53,0.61,0,0
2025-03-12,CZ3034,PVG-SZX,B737,15,7.2,-0.2,-0.8,0,0
2026-04-22,CZ3039,PVG-KMG,A321,10,9.2,-1.26,-1.17,0,0
2025-08-20,CZ3065,PVG-SZX,A321,13,6.9,1.55,3.0,0,0
2026-01-14,CZ3042,PVG-XIY,A321,16,6.4,1.02,2.94,26,1
2025-01-28,CZ3065,PVG-KMG,A320,6,3.3,-1.28,-0.68,0,0
2024-09-19,CZ3088,PVG-KMG,A330,12,4.7,0.77,-1.03,0,0
2026-08-22,CZ3002,PVG-URC,A330,13,7.6,1.98,1.5,4,0
2024-09-06,CZ3065,PVG-SZX,B737,20,8.7,-1.42,-1.82,0,0
2024-12-27,CZ3075,PVG-KMG,A321,17,12.2,0.29,1.18,24,1
2025-01-08,CZ3019,PVG-CSX,B737,12,10.6,-1.15,-1.88,3,0
2025-01-14,CZ3027,PVG-CAN,B787,7,5.5,-0.53,-1.61,1,0
2026-08-31,CZ3011,PVG-XIY,B737,18,4.2,3.0,3.0,0,0
2024-11-05,CZ3113,PVG-CKG,A330,6,2.9,-0.11,-0.03,0,0
2025-07-03,CZ3011,PVG-TSN,B787,17,10.4,0.75,0.22,0,0
2024-09-09,CZ3103,PVG-XIY,A320,13,9.8,0.52,-0.17,0,0
2026-06-14,CZ3011,PVG-CSX,B737,18,7.4,-0.55,0.56,0,0
2026-02-01,CZ3117,PVG-CAN,B787,12,3.8,-0.9,-1.91,14,1
2025-08-21,CZ3003,PVG-PEK,A321,17,7.3,2.03,1.12,0,1
2025-06-13,CZ3084,PVG-WUH,A330,20,4.7,1.5,2.57,2,0
2026-07-01,CZ3074,PVG-CKG,A320,18,5.2,1.36,-0.8,0,0
2025-10-29,CZ3031,PVG-CTU,A320,16,4.1,0.18,1.68,0,0
2024-09-19,CZ3013,PVG-PEK,B737,10,5.5,-0.41,0.64,0,0
2025-05-09,CZ3048,PVG-CSX,A320,16,10.2,0.03,0.3,0,0
2025-08-18,CZ3024,PVG-CAN,A321,20,8.2,0.67,0.19,0,0
2024-12-19,CZ3094,PVG-NKG,A321,20,6.6,-0.23,-1.27,0,0
2025-09-12,CZ3056,PVG-KMG,B737,8,11.3,-0.35,0.28,0,0
2025-08-02,CZ3052,PVG-SZX,A330,9,4.3,-0.99,-1.37,0,0
2025-01-16,CZ3092,PVG-NKG,A320,17,8.7,-0.36,-0.48,0,0
2026-07-12,CZ3086,PVG-TSN,A320,11,7.8,1.07,1.27,2,0
2026-08-19,CZ3108,PVG-TSN,A330,8,3.6,-1.21,-1.72,0,0
2026-05-30,CZ3091,PVG-CKG,A321,15,6.4,-1.6,-1.85,3,0
2024-12-23,CZ3068,PVG-CSX,B787,11,6.2,-1.94,-1.49,0,0
2024-12-09,CZ3021,PVG-NKG,A321,10,7.2,-0.48,-0.84,26,1
2025-04-02,CZ3007,PVG-NKG,B787,14,6.8,-0.48,-0.53,0,0
2026-08-24,CZ3068,PVG-CAN,A320,21,11.7,0.68,-1.34,0,0
2025-01-09,CZ3046,PVG-SZX,A321,13,7.7,1.47,1.72,0,0
2026-08-31,CZ3108,PVG-HGH,A320,8,6.8,0.91,1.06,37,1
2025-04-03,CZ3027,PVG-XIY,A321,14,7.4,0.02,1.19,40,1
2026-08-15,CZ3031,PVG-PEK,B737,20,8.8,0.4,0.32,0,0
2024-12-03,CZ3112,PVG-HGH,A330,18,7.7,-0.67,0.27,0,0
2025-12-02,CZ3053,PVG-SZX,A321,19,7.7,0.4,0.59,0,0
2026-04-06,CZ3111,PVG-PEK,B737,10,7.6,0.2,0.91,0,0
2025-02-05,CZ3093,PVG-CTU,A330,12,7.2,1.39,1.6,0,0
2025-02-12,CZ3070,PVG-TSN,A330,14,7.9,0.17,-0.53,0,0
2025-05-17,CZ3088,PVG-CTU,B787,11,10.6,-0.22,0.06,0,0
2024-12-25,CZ3093,PVG-WUH,A330,17,9.3,-0.31,0.65,0,0
2025-01-09,CZ3063,PVG-WUH,A321,19,9.6,-0.33,-0.1,0,0
2025-05-29,CZ3065,PVG-XIY,A330,15,4.7,0.05,0.04,3,0
2024-09-21,CZ3078,PVG-CTU,A330,11,6.9,0.45,-1.66,0,0
2025-11-02,CZ3106,PVG-HGH,B737,16,11.3,-1.01,0.26,0,0
2026-07-15,CZ3088,PVG-WUH,B737,12,2.1,0.08,1.08,0,0
2025-10-20,CZ3068,PVG-TSN,B737,17,2.6,-0.25,-0.38,0,0
2024-09-08,CZ3071,PVG-XIY,A320,16,3.2,1.54,0.42,0,0
2024-12-13,CZ3107,PVG-TSN,A321,11,3.1,0.2,0.39,0,0
2026-05-07,CZ3076,PVG-HGH,B787,10,7.1,-1.66,-3.0,0,0
2026-03-07,CZ3095,PVG-HGH,A330,16,5.4,-1.01,-1.13,2,0
2025-03-20,CZ3033,PVG-CKG,A320,10,6.1,0.43,-1.39,0,0
2026-08-01,CZ3083,PVG-NKG,B737,6,5.4,-0.17,-1.27,0,0
2025-07-09,CZ3018,PVG-HGH,A320,10,8.2,-0.22,0.3,0,0
2025-04-16,CZ3022,PVG-CTU,B787,16,7.3,0.46,0.01,0,0
2025-10-05,CZ3061,PVG-HGH,A320,6,6.4,0.11,1.88,0,0
2026-07-27,CZ3103,PVG-CKG,A320,16,6.0,-1.17,-1.2,0,0
2026-03-28,CZ3010,PVG-XIY,A321,9,10.5,-0.77,-1.47,0,0
2025-10-24,CZ3097,PVG-CAN,B737,13,10.0,-1.08,0.4,0,0
2025-08-12,CZ3034,PVG-CAN,B787,13,10.0,0.54,1.13,2,0
2026-05-29,CZ3019,PVG-KMG,A330,18,6.3,-0.27,-1.1,0,0
2025-04-08,CZ3097,PVG-TSN,B737,8,11.4,0.15,-1.35,0,0
2026-02-09,CZ3077,PVG-KMG,B787,9,5.7,-1.82,-0.15,0,0
2024-09-13,CZ3025,PVG-KMG,A330,21,9.4,0.13,0.73,0,0
2025-12-29,CZ3106,PVG-WUH,A321,15,11.1,0.91,1.57,0,0
2025-08-26,CZ3012,PVG-CKG,A321,11,6.0,1.15,0.35,0,0
2025-10-29,CZ3068,PVG-CAN,A320,15,9.7,0.11,-0.45,2,0
2025-09-20,CZ3043,PVG-KMG,B737,9,4.5,0.09,0.52,0,0
2025-06-27,CZ3100,PVG-NKG,B787,13,10.1,1.19,0.38,0,0
2025-02-17,CZ3112,PVG-CSX,A321,17,10.2,-1.33,-0.27,5,0
2024-11-01,CZ3033,PVG-CSX,A320,12,7.5,1.01,2.21,0,0
2025-09-10,CZ3104,PVG-CSX,B787,14,10.0,-1.14,-2.1,0,0
2026-01-07,CZ3055,PVG-TSN,A321,12,9.9,0.81,1.0,0,0
2026-03-23,CZ3013,PVG-HGH,B787,15,10.6,-0.33,1.29,0,0
2024-09-09,CZ3019,PVG-HGH,A321,12,6.8,-0.62,-1.21,1,0
2025-08-28,CZ3063,PVG-NKG,A330,11,7.5,3.0,1.98,0,0
2025-04-05,CZ3079,PVG-KMG,A320,10,10.8,2.31,3.0,29,1
2025-03-15,CZ3026,PVG-SZX,A330,19,7.6,-0.91,-1.57,0,0
2025-12-26,CZ3000,PVG-KMG,B787,12,,-0.23,-0.69,0,0
2026-08-22,CZ3083,PVG-NKG,B787,17,10.3,-0.2,-0.68,1,0
2025-10-14,CZ3112,PVG-HGH,B737,7,3.5,-1.23,-1.12,0,0
2025-06-29,CZ3055,PVG-NKG,A321,10,7.2,0.15,-0.12,0,0
2025-02-22,CZ3111,PVG-HGH,B737,12,7.5,-1.57,-1.85,0,0
2026-01-27,CZ3041,PVG-XIY,B787,10,8.6,0.55,-0.71,2,0
2025-10-06,CZ3006,PVG-CKG,A330,14,4.9,1.75,1.93,0,0
2026-01-27,CZ3028,PVG-KMG,A320,10,10.4,-0.79,-1.45,19,1
2024-11-17,CZ3090,PVG-XIY,A320,20,7.6,-1.08,-1.8,0,0
2025-11-01,CZ3007,PVG-XIY,B787,9,8.2,-0.9,-0.92,0,0
2025-06-04,CZ3109,PVG-NKG,A320,18,10.0,0.96,2.23,0,0
2025-02-22,CZ3041,PVG-XIY,B787,9,6.1,0.21,0.77,0,0
2025-06-27,CZ3069,PVG-XIY,B787,12,,-0.74,-1.2,0,0
2024-11-18,CZ3119,PVG-CAN,B787,14,7.7,-1.55,-2.32,0,0
2024-11-26,CZ3041,PVG-KMG,A320,8,6.7,0.02,0.55,0,0
2026-03-06,CZ3024,PVG-WUH,A321,16,6.0,-1.36,-3.0,0,0
2026-04-10,CZ3059,PVG-SZX,A330,18,5.5,-0.07,1.64,0,0
2024-11-09,CZ3046,PVG-CSX,B737,6,8.4,-0.67,-0.92,0,0
2026-03-19,CZ3071,PVG-SZX,A320,17,8.4,-0.06,-0.66,0,0
2026-02-18,CZ3115,PVG-HGH,A330,12,10.4,0.88,0.32,0,0
2026-02-16,CZ3111,PVG-PEK,B787,10,,-0.89,-1.95,0,0
2025-05-04,CZ3043,PVG-KMG,A320,6,5.9,0.77,1.99,3,0
2025-04-05,CZ3030,PVG-KMG,B737,13,8.3,0.31,-0.95,0,0
